program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	tf	source_capability_id	source_cache_key	directional_discordance_status	any_resource_discordance_status	resource_discordance_reasons	resource_estimability	resource_overlap_counts	resource_activity_scores	resource_directions
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	AHR	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":32,""DoRothEA"":16}"	"{""CollecTRI"":1.0008136738837037,""DoRothEA"":2.2270769475140115}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	AP1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	single_resource_significant_support	"{""CollecTRI"":true}"	"{""CollecTRI"":81}"	"{""CollecTRI"":3.0601005989945316}"	"{""CollecTRI"":""increased""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	AR	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":79,""DoRothEA"":19}"	"{""CollecTRI"":2.6797770366133893,""DoRothEA"":-0.21150088617422946}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ARID3A	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":false,""DoRothEA"":false}"	"{""CollecTRI"":3,""DoRothEA"":1}"	{}	{}
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ARNT	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":14,""DoRothEA"":16}"	"{""CollecTRI"":0.9699238684620962,""DoRothEA"":1.287582844217892}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ASCL1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":12,""DoRothEA"":10}"	"{""CollecTRI"":0.3713982845049443,""DoRothEA"":0.8812265596850419}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ATF1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference	"{""CollecTRI"":true,""DoRothEA"":false}"	"{""CollecTRI"":15,""DoRothEA"":4}"	"{""CollecTRI"":0.8006922461991175}"	"{""CollecTRI"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ATF2	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":20,""DoRothEA"":8}"	"{""CollecTRI"":0.7075657999034503,""DoRothEA"":-0.43076330866774576}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ATF3	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":21,""DoRothEA"":7}"	"{""CollecTRI"":0.7817369545549516,""DoRothEA"":-1.4169993677017814}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ATF4	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference	"{""CollecTRI"":true,""DoRothEA"":false}"	"{""CollecTRI"":17,""DoRothEA"":2}"	"{""CollecTRI"":0.13823598698944237}"	"{""CollecTRI"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ATF6	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;resource_estimability_difference	"{""CollecTRI"":true,""DoRothEA"":false}"	"{""CollecTRI"":5,""DoRothEA"":0}"	"{""CollecTRI"":0.9060833150478751}"	"{""CollecTRI"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ATF7	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":false,""DoRothEA"":false}"	"{""CollecTRI"":2,""DoRothEA"":2}"	{}	{}
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	BACH1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;resource_estimability_difference	"{""CollecTRI"":true,""DoRothEA"":false}"	"{""CollecTRI"":5,""DoRothEA"":4}"	"{""CollecTRI"":1.3740073818201148}"	"{""CollecTRI"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	BACH2	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference	"{""CollecTRI"":false,""DoRothEA"":true}"	"{""CollecTRI"":2,""DoRothEA"":15}"	"{""DoRothEA"":0.8082354115137862}"	"{""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	BATF	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference	"{""CollecTRI"":false,""DoRothEA"":true}"	"{""CollecTRI"":3,""DoRothEA"":15}"	"{""DoRothEA"":1.5823925793729625}"	"{""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	BCL11A	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":5,""DoRothEA"":8}"	"{""CollecTRI"":0.5610156270277332,""DoRothEA"":0.5730945184663415}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	BCL6	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	False	True	inconsistent_target_overlap;major_regulon_coverage_difference	"{""CollecTRI"":true,""DoRothEA"":true}"	"{""CollecTRI"":20,""DoRothEA"":8}"	"{""CollecTRI"":1.6966147356077446,""DoRothEA"":-0.07869822726231131}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"
